exp_score,nov_score,beta,learning_rate,mb_size,num_epochs,num_folds,num_hiddens,shuffled
0.38980902251495025,0.2690166975881262,0.0,0.1,8,500,2,32,False
0.34194752941824896,0.2690166975881262,0.3,0.1,8,500,2,32,False
0.4340722331433549,0.2690166975881262,0.0,0.1,8,500,6,32,False
0.332035673577578,0.2690166975881262,0.3,0.1,8,500,6,32,False
0.46629646981012485,0.2690166975881262,0.0,0.1,8,500,2,256,False
0.4162165513820376,0.2690166975881262,0.3,0.1,8,500,2,256,False
0.4920737901202293,0.2690166975881262,0.0,0.1,8,500,6,256,False
0.39851408531804783,0.2690166975881262,0.3,0.1,8,500,6,256,False
0.06173698569735718,0.2690166975881262,0.0,0.1,8,500,2,32,True
0.10026317965111473,0.2690166975881262,0.3,0.1,8,500,2,32,True
0.0648641039256871,0.2690166975881262,0.0,0.1,8,500,6,32,True
0.10496403608399492,0.2690166975881262,0.3,0.1,8,500,6,32,True
0.07246396781216413,0.2690166975881262,0.0,0.1,8,500,2,256,True
0.10026317965111473,0.2690166975881262,0.3,0.1,8,500,2,256,True
0.05444269162222415,0.2690166975881262,0.0,0.1,8,500,6,256,True
0.10286758196141038,0.2690166975881262,0.3,0.1,8,500,6,256,True
