exp_score,nov_score,beta,learning_rate,mb_size,num_epochs,num_folds,num_hiddens,shuffled
0.3835671177005539,0.2690166975881262,0.0,0.1,8,500,2,32,False
0.3179651114724281,0.2690166975881262,0.3,0.1,8,500,2,32,False
0.4136428649274135,0.2690166975881262,0.0,0.1,8,500,6,32,False
0.3099673629453452,0.2690166975881262,0.3,0.1,8,500,6,32,False
0.4754250833631879,0.2690166975881262,0.0,0.1,8,500,2,256,False
0.4399922837379778,0.2690166975881262,0.3,0.1,8,500,2,256,False
0.49492040275420224,0.2690166975881262,0.0,0.1,8,500,6,256,False
0.40039034546356284,0.2690166975881262,0.3,0.1,8,500,6,256,False
0.07045222807065891,0.2690166975881262,0.0,0.1,8,500,2,32,True
0.1266707085182021,0.2690166975881262,0.3,0.1,8,500,2,32,True
0.04879406259475764,0.2690166975881262,0.0,0.1,8,500,6,32,True
0.10114936890299113,0.2690166975881262,0.3,0.1,8,500,6,32,True
0.07447570755366936,0.2690166975881262,0.0,0.1,8,500,2,256,True
0.13094910022873207,0.2690166975881262,0.3,0.1,8,500,2,256,True
0.0508275401934369,0.2690166975881262,0.0,0.1,8,500,6,256,True
0.10304330829693052,0.2690166975881262,0.3,0.1,8,500,6,256,True
