exp_score,nov_score,beta,learning_rate,mb_size,num_epochs,num_folds,num_hiddens,shuffled
0.3736117617879682,0.2690166975881262,0.0,0.1,8,500,2,32,False
0.3378207071402982,0.2690166975881262,0.3,0.1,8,500,2,32,False
0.4231498242553214,0.2690166975881262,0.0,0.1,8,500,6,32,False
0.3240988034487447,0.2690166975881262,0.3,0.1,8,500,6,32,False
0.45876622481880563,0.2690166975881262,0.0,0.1,8,500,2,256,False
0.40878964918565874,0.2690166975881262,0.3,0.1,8,500,2,256,False
0.5190982736177081,0.2690166975881262,0.0,0.1,8,500,6,256,False
0.3995207825945559,0.2690166975881262,0.3,0.1,8,500,6,256,False
0.05229834375947309,0.2690166975881262,0.0,0.1,8,500,2,32,True
0.11470361286411111,0.2690166975881262,0.3,0.1,8,500,2,32,True
0.055826591312637876,0.2690166975881262,0.0,0.1,8,500,6,32,True
0.10331387106749328,0.2690166975881262,0.3,0.1,8,500,6,32,True
0.05719679223964505,0.2690166975881262,0.0,0.1,8,500,2,256,True
0.09897483947419186,0.2690166975881262,0.3,0.1,8,500,2,256,True
0.07592838839158127,0.2690166975881262,0.0,0.1,8,500,6,256,True
0.12008238842398451,0.2690166975881262,0.3,0.1,8,500,6,256,True
