exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.25,0.044921875,0.1,0.1,50.0,2,500,32,False,True
0.267578125,0.044921875,0.3,0.1,50.0,2,500,32,False,True
0.232421875,0.044921875,0.1,0.1,100.0,2,500,32,False,True
0.24609375,0.044921875,0.3,0.1,100.0,2,500,32,False,True
0.2890625,0.044921875,0.1,0.1,50.0,2,500,256,False,True
0.28125,0.044921875,0.3,0.1,50.0,2,500,256,False,True
0.28125,0.044921875,0.1,0.1,100.0,2,500,256,False,True
0.28125,0.044921875,0.3,0.1,100.0,2,500,256,False,True
0.130859375,0.044921875,0.1,0.1,50.0,2,500,32,True,True
0.1328125,0.044921875,0.3,0.1,50.0,2,500,32,True,True
0.107421875,0.044921875,0.1,0.1,100.0,2,500,32,True,True
0.140625,0.044921875,0.3,0.1,100.0,2,500,32,True,True
0.111328125,0.044921875,0.1,0.1,50.0,2,500,256,True,True
0.126953125,0.044921875,0.3,0.1,50.0,2,500,256,True,True
0.12890625,0.044921875,0.1,0.1,100.0,2,500,256,True,True
0.14453125,0.044921875,0.3,0.1,100.0,2,500,256,True,True
