exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.17578125,0.037109375,0.1,0.1,50.0,2,500,32,False,True
0.171875,0.037109375,0.3,0.1,50.0,2,500,32,False,True
0.16796875,0.037109375,0.1,0.1,100.0,2,500,32,False,True
0.17578125,0.037109375,0.3,0.1,100.0,2,500,32,False,True
0.189453125,0.037109375,0.1,0.1,50.0,2,500,256,False,True
0.177734375,0.037109375,0.3,0.1,50.0,2,500,256,False,True
0.181640625,0.037109375,0.1,0.1,100.0,2,500,256,False,True
0.169921875,0.037109375,0.3,0.1,100.0,2,500,256,False,True
0.12890625,0.037109375,0.1,0.1,50.0,2,500,32,True,True
0.10546875,0.037109375,0.3,0.1,50.0,2,500,32,True,True
0.1171875,0.037109375,0.1,0.1,100.0,2,500,32,True,True
0.095703125,0.037109375,0.3,0.1,100.0,2,500,32,True,True
0.134765625,0.037109375,0.1,0.1,50.0,2,500,256,True,True
0.1328125,0.037109375,0.3,0.1,50.0,2,500,256,True,True
0.1171875,0.037109375,0.1,0.1,100.0,2,500,256,True,True
0.107421875,0.037109375,0.3,0.1,100.0,2,500,256,True,True
