exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.296875,0.025390625,0.1,0.1,50.0,2,500,32,False,True
0.287109375,0.025390625,0.3,0.1,50.0,2,500,32,False,True
0.263671875,0.025390625,0.1,0.1,100.0,2,500,32,False,True
0.271484375,0.025390625,0.3,0.1,100.0,2,500,32,False,True
0.3125,0.025390625,0.1,0.1,50.0,2,500,256,False,True
0.310546875,0.025390625,0.3,0.1,50.0,2,500,256,False,True
0.30078125,0.025390625,0.1,0.1,100.0,2,500,256,False,True
0.296875,0.025390625,0.3,0.1,100.0,2,500,256,False,True
0.189453125,0.025390625,0.1,0.1,50.0,2,500,32,True,True
0.1953125,0.025390625,0.3,0.1,50.0,2,500,32,True,True
0.19921875,0.025390625,0.1,0.1,100.0,2,500,32,True,True
0.19921875,0.025390625,0.3,0.1,100.0,2,500,32,True,True
0.21484375,0.025390625,0.1,0.1,50.0,2,500,256,True,True
0.2109375,0.025390625,0.3,0.1,50.0,2,500,256,True,True
0.21875,0.025390625,0.1,0.1,100.0,2,500,256,True,True
0.208984375,0.025390625,0.3,0.1,100.0,2,500,256,True,True
