exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.1953125,0.041015625,0.1,0.1,50.0,2,500,32,False,True
0.201171875,0.041015625,0.3,0.1,50.0,2,500,32,False,True
0.1953125,0.041015625,0.1,0.1,100.0,2,500,32,False,True
0.177734375,0.041015625,0.3,0.1,100.0,2,500,32,False,True
0.216796875,0.041015625,0.1,0.1,50.0,2,500,256,False,True
0.203125,0.041015625,0.3,0.1,50.0,2,500,256,False,True
0.19921875,0.041015625,0.1,0.1,100.0,2,500,256,False,True
0.169921875,0.041015625,0.3,0.1,100.0,2,500,256,False,True
0.1171875,0.041015625,0.1,0.1,50.0,2,500,32,True,True
0.12109375,0.041015625,0.3,0.1,50.0,2,500,32,True,True
0.09765625,0.041015625,0.1,0.1,100.0,2,500,32,True,True
0.1015625,0.041015625,0.3,0.1,100.0,2,500,32,True,True
0.099609375,0.041015625,0.1,0.1,50.0,2,500,256,True,True
0.111328125,0.041015625,0.3,0.1,50.0,2,500,256,True,True
0.09375,0.041015625,0.1,0.1,100.0,2,500,256,True,True
0.099609375,0.041015625,0.3,0.1,100.0,2,500,256,True,True
