,arch,embed_size,embedder,evaluation,replication,score,stage,task,time_of_init
56,comparator,30,sg,matching,0,0.5606179646304976,expert+rs,features_is,2018-11-15-13-22-23
57,comparator,30,sg,matching,1,0.6242175229668921,novice,features_is,2018-11-15-13-22-23
58,comparator,30,sg,matching,1,0.6750416337180511,expert,features_is,2018-11-15-13-22-23
59,comparator,30,sg,matching,1,0.5746039786165097,expert+rs,features_is,2018-11-15-13-22-23
60,comparator,30,sg,matching,0,0.6748154176784741,novice,nyms_syn,2018-11-15-13-22-23
61,comparator,30,sg,matching,0,0.658131556568605,expert,nyms_syn,2018-11-15-13-22-23
62,comparator,30,sg,matching,0,0.6445854037338935,expert+rs,nyms_syn,2018-11-15-13-22-23
63,comparator,30,sg,matching,1,0.6806370748130972,novice,nyms_syn,2018-11-15-13-22-23
64,comparator,30,sg,matching,1,0.6595680082035599,expert,nyms_syn,2018-11-15-13-22-23
65,comparator,30,sg,matching,1,0.6477460515382634,expert+rs,nyms_syn,2018-11-15-13-22-23
66,comparator,30,sg,matching,0,0.5722329309390948,novice,cohyponyms_syntactic,2018-11-15-13-22-23
67,comparator,30,sg,matching,0,0.7827176509056936,expert,cohyponyms_syntactic,2018-11-15-13-22-23
68,comparator,30,sg,matching,0,0.5130537969176068,expert+rs,cohyponyms_syntactic,2018-11-15-13-22-23
69,comparator,30,sg,matching,1,0.5722329309390948,novice,cohyponyms_syntactic,2018-11-15-13-22-23
70,comparator,30,sg,matching,1,0.7853086929130358,expert,cohyponyms_syntactic,2018-11-15-13-22-23
71,comparator,30,sg,matching,1,0.513427500591217,expert+rs,cohyponyms_syntactic,2018-11-15-13-22-23
72,comparator,30,sg,matching,0,0.8301381158524169,novice,hypernyms_None,2018-11-15-13-22-23
73,comparator,30,sg,matching,0,0.8208616780045481,expert,hypernyms_None,2018-11-15-13-22-23
74,comparator,30,sg,matching,0,0.7554799697657026,expert+rs,hypernyms_None,2018-11-15-13-22-23
75,comparator,30,sg,matching,1,0.8256716828145632,novice,hypernyms_None,2018-11-15-13-22-23
76,comparator,30,sg,matching,1,0.8165670308527619,expert,hypernyms_None,2018-11-15-13-22-23
77,comparator,30,sg,matching,1,0.7568542568542797,expert+rs,hypernyms_None,2018-11-15-13-22-23
78,comparator,30,sg,matching,0,0.6227255634881484,novice,nyms_ant,2018-11-15-13-22-23
79,comparator,30,sg,matching,0,0.6582689698263908,expert,nyms_ant,2018-11-15-13-22-23
80,comparator,30,sg,matching,0,0.6128372638871797,expert+rs,nyms_ant,2018-11-15-13-22-23
81,comparator,30,sg,matching,1,0.6216420444347488,novice,nyms_ant,2018-11-15-13-22-23
