exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.19140625,0.0390625,0.1,0.1,50.0,2,500,32,False,True
0.189453125,0.0390625,0.3,0.1,50.0,2,500,32,False,True
0.16015625,0.0390625,0.1,0.1,100.0,2,500,32,False,True
0.177734375,0.0390625,0.3,0.1,100.0,2,500,32,False,True
0.20703125,0.0390625,0.1,0.1,50.0,2,500,256,False,True
0.19921875,0.0390625,0.3,0.1,50.0,2,500,256,False,True
0.201171875,0.0390625,0.1,0.1,100.0,2,500,256,False,True
0.21484375,0.0390625,0.3,0.1,100.0,2,500,256,False,True
0.1171875,0.0390625,0.1,0.1,50.0,2,500,32,True,True
0.09765625,0.0390625,0.3,0.1,50.0,2,500,32,True,True
0.115234375,0.0390625,0.1,0.1,100.0,2,500,32,True,True
0.103515625,0.0390625,0.3,0.1,100.0,2,500,32,True,True
0.12109375,0.0390625,0.1,0.1,50.0,2,500,256,True,True
0.126953125,0.0390625,0.3,0.1,50.0,2,500,256,True,True
0.12109375,0.0390625,0.1,0.1,100.0,2,500,256,True,True
0.12109375,0.0390625,0.3,0.1,100.0,2,500,256,True,True
