exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.28515625,0.03515625,0.1,0.1,50.0,2,500,32,False,True
0.296875,0.03515625,0.3,0.1,50.0,2,500,32,False,True
0.26953125,0.03515625,0.1,0.1,100.0,2,500,32,False,True
0.271484375,0.03515625,0.3,0.1,100.0,2,500,32,False,True
0.306640625,0.03515625,0.1,0.1,50.0,2,500,256,False,True
0.310546875,0.03515625,0.3,0.1,50.0,2,500,256,False,True
0.298828125,0.03515625,0.1,0.1,100.0,2,500,256,False,True
0.29296875,0.03515625,0.3,0.1,100.0,2,500,256,False,True
0.185546875,0.03515625,0.1,0.1,50.0,2,500,32,True,True
0.18359375,0.03515625,0.3,0.1,50.0,2,500,32,True,True
0.1875,0.03515625,0.1,0.1,100.0,2,500,32,True,True
0.189453125,0.03515625,0.3,0.1,100.0,2,500,32,True,True
0.1875,0.03515625,0.1,0.1,50.0,2,500,256,True,True
0.1875,0.03515625,0.3,0.1,50.0,2,500,256,True,True
0.197265625,0.03515625,0.1,0.1,100.0,2,500,256,True,True
0.1953125,0.03515625,0.3,0.1,100.0,2,500,256,True,True
