exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.3046875,0.033203125,0.1,0.1,50.0,2,500,32,False,True
0.2890625,0.033203125,0.3,0.1,50.0,2,500,32,False,True
0.2421875,0.033203125,0.1,0.1,100.0,2,500,32,False,True
0.232421875,0.033203125,0.3,0.1,100.0,2,500,32,False,True
0.322265625,0.033203125,0.1,0.1,50.0,2,500,256,False,True
0.298828125,0.033203125,0.3,0.1,50.0,2,500,256,False,True
0.310546875,0.033203125,0.1,0.1,100.0,2,500,256,False,True
0.271484375,0.033203125,0.3,0.1,100.0,2,500,256,False,True
0.138671875,0.033203125,0.1,0.1,50.0,2,500,32,True,True
0.126953125,0.033203125,0.3,0.1,50.0,2,500,32,True,True
0.107421875,0.033203125,0.1,0.1,100.0,2,500,32,True,True
0.126953125,0.033203125,0.3,0.1,100.0,2,500,32,True,True
0.154296875,0.033203125,0.1,0.1,50.0,2,500,256,True,True
0.150390625,0.033203125,0.3,0.1,50.0,2,500,256,True,True
0.154296875,0.033203125,0.1,0.1,100.0,2,500,256,True,True
0.150390625,0.033203125,0.3,0.1,100.0,2,500,256,True,True
